q1,q2,q3,q4,q5,q6,x,y,z
-0.2715,-0.1671,1.1984,-0.0084,0.1456,0,500,-139.3152,653.2951
-0.255,-0.1459,1.203,-0.0081,0.1447,0,500,-130.4274,641.9837
-0.2362,-0.1247,1.2074,-0.0076,0.1437,0,500,-120.4258,630.9731
-0.2156,-0.1034,1.2114,-0.0071,0.1426,0,500,-109.5774,620.2555
-0.1937,-0.0819,1.2148,-0.0066,0.1414,0,500,-98.1655,609.8114
-0.1711,-0.06,1.2176,-0.0061,0.1402,0,500,-86.4806,599.6173
-0.1484,-0.0377,1.2197,-0.0055,0.1388,0,500,-74.8093,589.6535
-0.1261,-0.015,1.2211,-0.005,0.1373,0,500,-63.4254,579.9102
-0.1047,0.0081,1.2217,-0.0045,0.1358,0,500,-52.5802,570.3936
-0.0847,0.0312,1.2216,-0.0041,0.1341,0,500,-42.4942,561.1294
-0.0665,0.0542,1.221,-0.0037,0.1324,0,500,-33.3496,552.1649
-0.0505,0.0768,1.2198,-0.0033,0.1307,0,500,-25.2847,543.5693
-0.0367,0.0984,1.2183,-0.003,0.129,0,500,-18.3896,535.4314
-0.0253,0.1188,1.2165,-0.0028,0.1274,0,500,-12.7035,527.856
-0.0164,0.1375,1.2146,-0.0026,0.1259,0,500,-8.2148,520.9588
-0.0097,0.1542,1.2128,-0.0024,0.1246,0,500,-4.8615,514.86
-0.005,0.1684,1.2111,-0.0023,0.1235,0,500,-2.535,509.6775
-0.0021,0.1798,1.2097,-0.0023,0.1226,0,500,-1.0848,505.5195
-0.0006,0.1881,1.2086,-0.0022,0.1219,0,500,-0.3248,502.4783
0,0.1932,1.2079,-0.0022,0.1215,0,500,-0.041,500.6241
0,0.1949,1.2077,-0.0022,0.1213,0,500,-0.0001,500.001
0,0.1949,1.2077,-0.0022,0.1213,0,500,-0.0001,500.001
